filename	label
00000.png	6737 1578 2603 8002
00001.png	0113 7440 3073 0722
00002.png	9814 1095 2751 7110
00003.png	6785 7856 2381 9700
00004.png	9164 7559 6572 0876
00005.png	3862 5201 6457 0201
00006.png	0401 3236 4996 2651
00007.png	0437 8339 5402 6158
00008.png	6543 4010 4470 2688
00009.png	8561 6281 9431 0478
00010.png	4581 4650 9830 0907
00011.png	5439 8039 8287 4916
00012.png	8043 5561 2329 4012
00013.png	0854 3620 8445 3289
00014.png	3163 5308 2002 0293
00015.png	3778 6901 1765 0939
00016.png	7850 2525 4626 0547
00017.png	7672 0386 5264 5936
00018.png	2509 9868 3652 2173
00019.png	2698 2877 5026 2966
00020.png	7877 8730 7709 8917
00021.png	4285 1687 5016 1084
00022.png	1548 8400 2433 5049
00023.png	0153 8404 7653 9025
00024.png	4915 7168 2116 4268
00025.png	8048 5842 6306 6051
00026.png	0916 8981 7497 4044
00027.png	5088 6196 9964 3803
00028.png	6271 1700 5829 9588
00029.png	0511 4553 8466 5360
00030.png	9105 5851 2087 5314
00031.png	6612 3232 6819 6545
00032.png	6410 7747 1574 6715
00033.png	0026 1957 8134 2984
00034.png	3134 5964 4658 7928
00035.png	1648 6451 9503 0173
00036.png	4248 4087 1522 8488
00037.png	0585 7606 7088 5400
00038.png	2301 2066 2640 8155
00039.png	9436 2171 8203 2052
00040.png	5562 1581 5825 4299
00041.png	2017 4446 3098 4784
00042.png	6194 4286 2197 4222
00043.png	0165 0497 9221 3069
00044.png	4875 1792 2803 6892
00045.png	0281 5112 8099 6645
00046.png	5204 4837 7470 2224
00047.png	9371 9456 6634 6349
00048.png	3684 0599 0810 8244
00049.png	5422 5452 8479 9299
00050.png	9449 9624 8978 2374
00051.png	6814 0562 6929 7496
00052.png	2179 0199 3298 5373
00053.png	7921 7472 3607 3480
00054.png	6509 1375 9632 7604
00055.png	6602 3212 2576 3520
00056.png	6458 9106 8323 2215
00057.png	7063 6176 8122 9709
00058.png	6745 5877 7270 8716
00059.png	3190 0205 9575 5870
00060.png	6124 4735 9935 1712
00061.png	7147 6580 6650 6298
00062.png	4006 9968 6921 3623
00063.png	4160 0399 8005 6817
00064.png	1899 8681 8275 4014
00065.png	2358 3976 0587 1570
00066.png	9284 3940 1662 2257
00067.png	2949 3960 0689 2315
00068.png	0370 8082 0382 7055
00069.png	7172 1681 3053 2025
00070.png	9065 9424 8600 8008
00071.png	5000 1644 6990 2226
00072.png	8408 1662 5163 5417
00073.png	0467 7277 3869 1594
00074.png	5746 7581 1875 7886
00075.png	6910 6375 9964 9478
00076.png	4913 2166 3153 4071
00077.png	5259 9548 2891 8866
00078.png	9479 9362 4506 1174
00079.png	0776 5439 4214 8291
00080.png	1829 5199 4634 7925
00081.png	8982 6124 3809 5451
00082.png	2869 2411 6341 7358
00083.png	7770 1645 2605 3288
00084.png	2712 2359 7618 5104
00085.png	8570 5486 9308 4300
00086.png	3517 8234 7676 0914
00087.png	1704 6885 8575 9300
00088.png	1012 7503 5933 9495
00089.png	3454 2037 8598 2784
00090.png	4660 1864 4094 1596
00091.png	1360 8806 4901 6172
00092.png	8734 6346 1107 3130
00093.png	4747 4123 2311 2224
00094.png	7023 2016 6601 0074
00095.png	7341 1168 3086 6845
00096.png	2728 3680 0141 5283
00097.png	8531 4311 6833 9194
00098.png	5222 8246 5711 2547
00099.png	6496 0457 3584 8527
00100.png	8356 3189 8877 4460
00101.png	7132 0926 3457 7473
00102.png	4777 7523 8717 8343
00103.png	8667 8774 3077 0017
00104.png	8317 7244 0336 3542
00105.png	2576 4046 4326 4996
00106.png	6476 5099 2402 9933
